Location,Min Salary,Max Salary,Median Salary
Stratford-Upon-Avon,0.6,0.6,0.59999999999999998
South West London,1.0,2.3333333333333335,1.6666666666666667
Blaenau Gwent,0.75,0.75,0.75
Ipswich,1.12,1.12,1.1200000000000001
West Yorkshire,1.1666666666666667,1.1666666666666667,1.1666666666666667
High Wycombe,0.99,0.99,0.98999999999999999
York,0.6666666666666666,0.6666666666666666,0.66666666666666663
Leeds,0.39613333333333334,0.64,0.51806666666666668
Clacton-On-Sea,0.92,0.92,0.92000000000000004
Rosyth,1.5,1.5,1.5
Hertfordshire,0.8333333333333334,0.8333333333333334,0.83333333333333337
Milton Keynes,1.25,1.25,1.25
Solihull,1.8333333333333333,1.8333333333333333,1.8333333333333333
Bournemouth,0.5333333333333333,0.5833333333333334,0.55833333333333335
Chesterfield,1.0,1.0,1.0
Exeter,0.4016,0.8,0.6008
Letchworth Garden City,1.9166666666666667,1.9166666666666667,1.9166666666666667
West Midlands,1.0166666666666666,1.0166666666666666,1.0166666666666666
Thatcham,0.7,0.7,0.69999999999999996
Andover,0.6,0.6,0.59999999999999998
Nottingham,1.088,1.088,1.0880000000000001
Eastbourne,0.91,0.91,0.91000000000000003
Manchester,1.0,1.2166666666666666,1.1083333333333334
West London,1.5833333333333333,1.5833333333333333,1.5833333333333333
Winchester,1.1666666666666667,1.1666666666666667,1.1666666666666667
Yorkshire and Humberside,1.1666666666666667,1.1666666666666667,1.1666666666666667
Redditch,0.8833333333333333,0.8833333333333333,0.8833333333333333
Enfield,0.85,0.85,0.84999999999999998
South East England,1.0973,1.0973,1.0972999999999999
Slough,0.6,1.1333333333333333,0.8666666666666667
North Lambeth,0.8333333333333334,0.8333333333333334,0.83333333333333337
Reading,2.0,2.0,2.0
South Normanton,1.4166666666666667,1.4166666666666667,1.4166666666666667
Sheffield,0.6333333333333333,0.9166666666666666,0.76666666666666661
Coalville,1.1666666666666667,1.1666666666666667,1.1666666666666667
Hamilton,1.2166666666666666,1.2166666666666666,1.2166666666666666
London,0.6,2.9166666666666665,1.2916666666666665
Colchester,0.75,0.75,0.75
East Sheen,1.3333333333333333,1.3333333333333333,1.3333333333333333
Harlow,0.9333333333333333,0.9333333333333333,0.93333333333333335
Southampton,0.704,0.704,0.70399999999999996
Congleton,0.8333333333333334,0.8333333333333334,0.83333333333333337
Blackburn,1.3333333333333333,1.3333333333333333,1.3333333333333333
Northumberland,0.5196666666666667,0.5196666666666667,0.51966666666666672
Cheshire,1.0,1.0,1.0
Alderley Edge,0.6333333333333333,0.6333333333333333,0.6333333333333333
Langport,0.39613333333333334,0.39613333333333334,0.39613333333333334
Cambridge,1.3333333333333333,1.3333333333333333,1.3333333333333333
Northampton,0.4333,0.4333,0.43330000000000002
Charlton,0.448,0.448,0.44800000000000001
Watford,1.0833333333333333,1.0833333333333333,1.0833333333333333
UK,0.44926666666666665,2.6,1.032
Doncaster,0.7166666666666667,0.7166666666666667,0.71666666666666667
Gillingham,0.9666666666666667,0.9666666666666667,0.96666666666666667
Oxfordshire,2.4,2.4,2.3999999999999999
Lewisham,0.5312,0.5312,0.53120000000000001
Bedfordshire,0.9724,0.9724,0.97240000000000004
