Number,Title,Description,Location,Time,Term,Company,Category,Source,Salary
1,English Teacher,"Are you a qualified and experienced English Teacher looking for a permanent position from January 2013? Are you looking for a new and exciting challenge where you can really make a difference? Would you like to work at a ‘Good’ Ofsted 20**** Secondary School based in Birmingham? If so then this fantastic opportunity could be just what you are looking for… English Teacher – Must hold QTS ’Good’ Ofsted 2011 Secondary School Birmingham MPS/UPS Pay Scale Permanent position January 2013 start Supportive Headteacher and Senior Management Team Excellent opportunity to innovate and develop your professional skills We are working on behalf of a client Secondary School who is seeking an innovative, effective and inspiring Teacher of English from January 2013 to work on a permanent basis. Interviews will be held immediately for the successfully shortlisted English Teachers. The school wish to appoint for a January 2013 start, an enthusiastic, motivated and a creative Teacher of English to join their very successful team who are totally committed to their passion for English and learning with fantastic examination results. (GCSE: ****6% AC English Language and 92% AC English Literature). My client can be found in the desirable area of Edgbaston, Birmingham and is located near excellent public transport links, with the appointed English Teacher having car parking access. My client is a ‘Good’ Ofsted 2011 School with some outstanding features. The Headteacher and her staff have established a culture where high expectations and a fully inclusive ethos are the norm and where the school’s motto, ‘All different, all equal, all achieving’, accurately reflects what the school is about. Students’ achievement is good overall, and often outstanding. Their standards on entry to the school in Year 7 are low, and although key aspects such as language difficulties hold back their progress in Key Stage **** the school’s data for **** show a considerable improvement in the core subjects of English, mathematics and science. As a result of good teaching and learning and excellent care, guidance and support, students’ progress picks up speed as they progress through the school. They make outstanding progress in Key Stage **** and leave Year 11 with broadly average results at GCSE. In **** ****% of the students left school with five or more GCSEs at grade A to C and all students left school with at least one pass at GCSE. All groups of students make at least good progress and many, including those with learning difficulties and/or disabilities and those for whom English is not their first language, make outstanding progress. In your role as an English Teacher, you will be taking on full teaching responsibilities for Key Stages **** **** and 5. You will be working extremely close with the excellent and supportive Head of Department who has been at the school for many years and has built up excellent relationships with all members of staff and pupils. If you are an English Teacher looking for a new and exciting challenge and would like to work in a fantastic environment as of January 2013, please get in touch today with your CV and cover letter and send it to Alfie at Edustaff today to avoid missing out on the outstanding opportunity. Please note only successful candidates will be contacted.",West Midlands,full_time,permanent,Edustaff   Birmingham,Teaching Jobs,jobsineducation.co.uk,30500
2,1st Line / 2nd Line Support,"My client are seeking a 1st Line / 2nd Line Support experience for a permanent position in Stoke on Trent. You will ideally have previous support experience and will be supporting a customer base via the phones and email and also some travel to sites, so possessing a car is essential. This well established company are offering training and support for enthusiastic support professionals and are looking to hire asap. The 1st line / 2nd line support Analyst will be supporting the company s IT infrastructure and resolving problems professionally and politely or transferring them to the correct person. This will include Windows, Microsoft Office Support as well as solving web browser issues. The Ideal 1st/2nd Line Support will have:  Fantastic communication skills and customer service or helpdesk experience  Strong experience in a 1st line, Helpdesk and/or Desktop Support role  Strong Active Directory, Windows and Office experience  Drive and have a car as some travel will be required If you are a 1st/2nd Line Support Analyst with Helpdesk or Desktop experience and you live in and around StokeonTrent please apply today",Stoke-On-Trent,,permanent,Head Office,IT Jobs,jobsite.co.uk,18000
3,Supervisor,**** x Production Supervisor required Direct Workforce have a excellent opportunity for a experienced Production Supervisor that has working experience within healthcare or the food industry .The position is in East Leeds . The role has the opportunity for the right person to progress further. The company is a international company. The pay starts at **** per hour intitally this is a temporary role but may develop into a permanent position. Skills and experience  Must have experience working in the food or healthcare industry.  Must be familiar with L E A N processes and efficencies.  Candidates must have been a supervisor managing a team previously.  Must be flexible and able to work different shifts. The role  To direct and lead the running of the production department  Offering solutions to problems and intiating efficient practices  To provide guidance and support to other team members.  Plus other related tasks. Hours The role will require the successful candidate to be flexible and able to do shifts rotating with the two other supervisors. There will be some overtime available also. The job will start in January 2013. Please send your CV to fleurdirectworkforce.com,Leeds,full_time,,,Manufacturing Jobs,Jobcentre Plus,19200
4,Bookkeeper/Accountant  Sheffield,"An exciting opportunity has arisen with a new start up business in Sheffield. Working for a very experienced Managing Director with a wealth of industry experience, you will be responsible for all financial aspects of the company. This is a very hands on role including everything from processing purchase invoices to preparing monthly accounts using Sage. The ideal candidate will be an all rounder who is able to work closely with the MD to help implement robust financial controls and drive profitability. This job was originally posted as www.totaljobs.com/JobSeeking/BookkeeperAccountantSheffield_job****",Sheffield,,permanent,IPS Group,Accounting & Finance Jobs,totaljobs.com,27500
5,Change Manager,"Mott MacDonald is currently looking to recruit a Change Manager to join our Power / Defence unit in Reading to work on a range nuclear and defence projects. Ideally applicants must come from either a defence or civil infrastructure background. The role will involve working within a team **** people ranging from Project Manager, Cost Engineers and Planners. The package will include:  Accommodation  Expenses  Bonus  Life Insurance  Pension",Reading,,permanent,Mott MacDonald,Engineering Jobs,rengineeringjobs.com,60000
6,Brand Executive  TV,"Marketing is pivotal in shaping the success of my client s TV ratings, brand awareness, advocacy and commercial objectives. You will work directly with the Brand Management team on multiple projects to assist in the daytoday development and delivery of ambitious, innovative and effective cross platform marketing campaigns. Projects will include assisting with elements of the 360 degree marketing campaigns for hugely successful UK commissions as well as International priority acquisitions. Outside of entertainment, the Brand Executive will also be involved in delivering on strategies for Music and Events and leading social media planning and activity. He/she will be a champion of my client s brand and audience; someone who is passionate about youth and committed to consistently understanding their audiences; their relationships, aspirations, concerns, interests and media habits. They re looking for a superstar for this exciting and challenging role that requires a leadership, creative, selfmotivation, project management and attentiontodetail skill set. To be considered for this fantastic opportunity you should have/be: Role specific competencies Creativity the ability to come up with interesting ideas that adhere to my clients brand values. Ideally degree educated or compensating marketing experience. Experience or knowledge of youth brand/media marketing as well as a keen interest in music and entertainment Experience of managing suppliers, budgets, external agencies and third parties. Experience in assisting the development and delivery of marketing campaigns Is a good communicator, has excellent presentation skills, takes the initiative and is hard working with a positive attitude Has the ability to prioritise effectively and works accurately and well under pressure and to tight deadlines Has a strong attention to detail, competent at managing spread sheets and power point and delivering results Photoshop skills desired, not mandatory Presentation skills PowerPoint mandatory, other software (i.e Prezi) desirable",London,full_time,permanent,SAUCE RECRUITMENT,Consultancy Jobs,jobs.guardian.co.uk,27500
7,Senior Quantity Surveyor/Commercial Manager,"Senior Quantity Surveyor/Commercial Manager Surrey Up to **** depending on experience Car or Allowance Our client is a private company with over 50 years experience of providing construction services to the Rail, Power and Telecommunications industries. They are a Civils infrastructure contractor capable of undertaking all Civils work trackside with specialist capabilities in the installation and replacement of telecommunication, signalling and power cabling. The successful candidate will be responsible for the commercial management of all framework agreements, contracts with Network Rail, London Underground and other contracts. You will also be required to manage **** Quantity Surveyors at an intermediate and junior level. The successful candidate can expect a salary of up to ****  benefits. If you are interested or know someone suitable please contact me on (Apply online only) or send me your updated CV on reply. Services advertised by Project Resource Ltd are those of an agency and/or an employment business",The City,,permanent,Project Resource Limited,Trade & Construction Jobs,cv-library.co.uk,50000
8,Store Manager,"Luxury Retailer, Store Manager, Oxford, up to ****  bonuses Luxury brand looking for a Boutique Store Manager in their Oxford store. A growing business where as Store Manager you will have the opportunity to be a key member of the company's team and contribute to their ongoing success. As a brand they are very passionate about quality of product and service. They have very strong business values and pride themselves on the provenance of their product and the history of the brand. This has seen them grow year on year and they now have stores nationwide and an international presence. If you have a track record as a Store Manager for a premium brand in delivering great customer service with a smile, can lead your team to achieve the same standards, combined with a commercial Store Manager's focus then we would love to hear from you. As a Store Manager you will have ownership for all aspects of running their store and great opportunities to develop a successful career with a growing brand with exciting ideas. Apply now to find out more about this Store Manager role This job was originally posted as www.caterer.com/JobSeeking/StoreManager_job****",Oxford,,,360 Resourcing,Hospitality & Catering Jobs,caterer.com,21000
9,Graduate Trainee Corporate Sales Executive ****K OTE,"Graduate Trainee Corporate Sales Executive ****K OTE The Role: This role requires individuals with the communication skills and professionalism to manage large accounts. You should also have real drive and commitment to undertake new business development. Successful candidates will have the chance to work in a lively and fastpaced corporate sales environment. Candidates need to have toptier communication skills, confidence and a keen desire to start a career in sales. You have the chance to work and progress in a marketleading company in their corporate sales team, pitching and selling to top senior managers. The Opportunity: This role is a great entry level role for graduates looking to start their career in an exciting environment, with a competitive OTE and incredible progression prospects. You have the opportunity to work for leader in consultancy and advisory services building membership networks across the world's best organizations. As a graduate entrylevel role, this position comes with fantastic progression prospects for successful candidates; our client has a strong meritocratic culture of rewarding aptitude and effort. Candidates: Successful candidates need to be articulate and very ambitious, enjoy working under pressure and thrive in a fast paced environment. The successful candidates will be confident, enjoy working in teams and be very driven by money and quick progression. This is an entrylevel, graduate position; candidates are not expected to have sales experience however you must be able to demonstrate a keen desire to start your career in sales. If you are: An recent graduate Target driven Articulate Intelligent Eager to work in London Commerciallyaware Proactive and organised Wellpresented Tenacious Send us your CV",London,full_time,permanent,MEET THE REAL ME LTD,Creative & Design Jobs,jobs.guardian.co.uk,18000
10,"SharePoint Administrator (SharePoint **** 2010, IIS, Windows S","SharePoint Administrator (SharePoint **** 2010, IIS, Windows Server, SQL Server, Content Management, Metadata, Configuration) SharePoint Administrator (SharePoint **** 2010, IIS, Windows Server, SQL Server, Content Management, Metadata, Configuration) Sand Resources has an excellent opportunity available for an experienced SharePoint Administrator for a role based in Watford. The client is looking for a strong SharePoint Administrator to come on board and support a number of new projects within the IS side of the organisation. Candidates should be aware of a possibility to work as a contractor for a few month and then move into permanent position. SharePoint Administrator role and skills: •Strong experience of SharePoint **** and 2010 administration. •Completion of SharePoint 2010 Administration course is highly desirable. •Strong experience of: Content Management, Metadata, Governance and SharePoint Configuration. •Candidates should have experience of developing, document management and aiding in developing bespoke applications. •Desirable to have experience of reporting solutions using SharePoint 2010 or SharePoint workflows. •Excellent communication and interpersonal skills. Candidates should send their CV for immediate consideration and to receive the full specification. Sand Resources is an equal opportunity employer committed to a policy of treating all employees and job applicants equally. It is our aim to take all reasonable steps to employ and promote on the basis of ability and qualifications without regard to race, religion, colour, sex, age, national origin, disability or sexual orientation. Our recruitment takes place based only on skills and experience of the candidates. Sand Resources is acting as an employment agency in relation to this vacancy.",Watford,,,Interquest Group,IT Jobs,gojobsearch.co.uk,32500
